9163;2601;961
9164;2931;666
9165;3211;550
9166;3453;555
9167;3506;724
9168;3414;1032
9169;3194;1417
9170;2848;1815
9171;2455;2287
9172;1995;2741
9173;1583;3142
9174;1216;3472
9175;894;3683
9176;642;3770
9177;493;3685
9178;459;3593
9179;571;3313
9180;769;2964
9181;1051;2548
9182;1373;2042
9183;1749;1607
9184;2139;1222
9185;2514;903
9186;2865;673
9187;3147;556
9188;3362;524
9189;3504;592
9190;3567;752
9191;3547;969
9192;3439;1232
9193;3245;1556
9194;2983;1931
9195;2669;2279
9196;2328;2626
9197;1983;2970
9198;1645;3266
9199;1324;3505
9200;1037;3686
9201;811;3771
9202;595;3788
9203;508;3716
9204;485;3560
9205;560;3283
9206;717;2958
9207;943;2584
9208;1247;2182
9209;1573;1780
9210;1927;1393
9211;2298;1053
9212;2651;796
9213;3005;618
9214;3254;524
9215;3426;555
9216;3531;648
9217;3563;836
9218;3525;1063
9219;3403;1338
9220;3209;1645
9221;2659;2304
9222;2328;2641
9223;2007;2961
9224;1639;3255
9225;1332;3489
9226;1056;3676
9227;823;3767
9228;645;3786
9229;512;3737
9230;495;3590
9231;539;3371
9232;663;3069
9233;857;2740
9234;1129;2382
9235;1411;1996
9236;1699;1621
9237;2007;1271
9238;2292;1007
9239;2573;792
9240;2844;644
9241;3076;556
9242;3273;536
9243;3425;552
9244;3517;650
9245;3570;774
9246;3561;962
9247;3522;1164
9248;3429;1362
9249;3271;1562
9250;3086;1843
9251;2853;2131
9252;2605;2411
9253;2326;2638
9254;2043;2940
9255;1777;3179
9256;1531;3388
9257;1253;3548
9258;1021;3652
9259;819;3717
9260;671;3728
9261;543;3678
9262;547;3562
9263;508;3380
9264;594;3165
9265;749;2890
9266;927;2561
9267;1141;2196
9268;1495;1858
9269;1832;1550
9270;2129;1196
9271;2450;879
9272;2784;698
9273;3095;579
9274;3339;522
9275;3489;555
9276;3583;696
9277;3598;873
9278;3523;1104
9279;3384;1407
9280;3142;1733
9281;2863;2061
9282;2529;2440
9283;2167;2771
9284;1812;3109
9285;1459;3385
9286;1120;3591
9287;829;3723
9288;627;3770
9289;508;3710
9290;517;3537
9291;652;3249
9292;890;2885
9293;1223;2412
9294;1607;1943
9295;2034;1474
9296;2443;1087
9297;2825;779
9298;3152;601
9299;3408;539
9300;3538;603
9301;3567;789
9302;3448;1077
9303;3201;1394
9304;2848;1841
9305;2465;2301
9306;2069;2740
9307;1614;3109
9308;1214;3419
9309;879;3639
9310;631;3747
9311;509;3728
9312;534;3565
9313;720;3253
9314;1013;2826
9315;1411;2352
9316;1839;1772
9317;2292;1288
9318;2747;909
9319;3131;670
9320;3396;561
9321;3553;599
9322;3596;833
9323;3516;1062
9324;3282;1410
9325;2958;1811
9326;2568;2235
9327;2117;2706
9328;1688;3115
9329;1283;3450
9330;933;3677
9331;671;3702
9332;537;3771
9333;555;3613
9334;724;3298
9335;1053;2874
9336;1435;2362
9337;1851;1835
9338;2307;1308
9339;2777;947
9340;3170;682
9341;3419;579
9342;3545;650
9343;3572;837
